experiment,n_runs,optimizer,l2_rel_error_mean,l2_rel_error_std,iters_to_l2_rel_threshold_mean,iters_to_l2_rel_threshold_std,best_l2_rel_error,best_run
F4_points_5k,3,SSBroyden2,1.6980585935364012,0.21596295063491883,,,1.4020728062795123,F4_points_5k/seed_1
F5_adam_resample_200,3,SSBroyden2,1.095827063692757,0.13853918500522214,,,0.899915811793018,F5_adam_resample_200/seed_1
F6_adam_resample_1000,3,SSBroyden2,1.5369331500564067,0.4900073523971477,,,1.1847730987646339,F6_adam_resample_1000/seed_1
H1_rad_k1_0p5,3,SSBroyden2,1.166409484678745,0.24128858807406534,,,0.8913219563358562,H1_rad_k1_0p5/seed_3
H2_rad_k1_2p0,3,SSBroyden2,2.127439275195506,1.264182176204559,,,1.213338098640355,H2_rad_k1_2p0/seed_3
H3_rad_k2_0p5,3,SSBroyden2,0.9624820595852682,0.22349439596876675,,,0.7009515800919609,H3_rad_k2_0p5/seed_2
H4_rad_k2_2p0,3,SSBroyden2,0.9949293886076993,0.15937858377791772,,,0.8110214229406006,H4_rad_k2_2p0/seed_3
